"counter__count","results__|","results__|__goal_probs_0","results__|__goal_probs_1","results__|__goal_probs_2","results__|__goal_probs_3","results__|__goal_probs_4","results__|__reward_score","results__|__time_spent","results__|__timestep","results__|__true_goal_probs","results__a"
"","","0.17857142857142858","0.17857142857142858","0.17857142857142858","0.2857142857142857","0.17857142857142858","0.9357142857142858","12.994","5","0.17857142857142858",""
"","","0.17857142857142858","0.17857142857142858","0.17857142857142858","0.2857142857142857","0.17857142857142858","1.1142857142857143","5.192","6","0.17857142857142858",""
"","","0.5263157894736842","0.10526315789473684","0.10526315789473684","0.15789473684210525","0.10526315789473684","1.6406015037593984","18.793","7","0.5263157894736842",""
"","","1","0","0","0","0","2.6406015037593984","8.016","8","1",""
"","","1","0","0","0","0","3.6406015037593984","4.988","9","1",""
"","","1","0","0","0","0","4.640601503759399","23.221","10","1",""
"","1607115046520_problem_4_2","0.1724137931034483","0.1724137931034483","0.1724137931034483","0.3103448275862069","0.1724137931034483","0.1724137931034483","12.864","1","0.1724137931034483",""
"","","0.3076923076923077","0.3076923076923077","0.3076923076923077","0.038461538461538464","0.038461538461538464","0.480106100795756","12.548","2","0.3076923076923077",""
"","","0.5","0","0.5","0","0","0.980106100795756","14.953","3","0.5",""
"","","0","0","1","0","0","1.9801061007957559","4.388","4","1",""
"","1607115046520_tutorial","0.2","0.2","0.2","0.2","0.2","0.2","0","1","0.2",""
"","","0.42105263157894735","0.42105263157894735","0.05263157894736842","0.05263157894736842","0.05263157894736842","0.6210526315789473","0","2","0.42105263157894735",""
"","","0.07692307692307693","0.07692307692307693","0.6923076923076923","0.07692307692307693","0.07692307692307693","0.6979757085020242","0","3","0.07692307692307693",""
"","","0.07692307692307693","0.07692307692307693","0.6923076923076923","0.07692307692307693","0.07692307692307693","0.774898785425101","0","4","0.07692307692307693",""
"","","0.5","0.5","0","0","0","1.274898785425101","0","5","0.5",""
"","","0.5","0.5","0","0","0","1.774898785425101","0","6","0.5",""
